Player,Points_Per_Game,Rebounds_Per_Game,Assists_Per_Game
Jahmir_Young,17.7,3.4,3.9
Isaiah_Collier ,17.3,3,4.5
Reed_Sheppard ,13.9,4.5,3.9
Tyrese_Proctor ,10.3,2.9,4.5
DJ_Wagner,13.1,1.9,3.3
Jared_McCain ,7.6,4.5,1.8
Stephon_Castle,10.7,5.7,2.7
JaKobe_Walter ,14.9,4,1.1
Carlton_Carrington,14.8,5.2,6.1
